FID,SitePolygo,dunam,Shape_Area,parmiter,Ci,buff_area,buff_perim,STAT_1,AGE,POP15,RATE15,INDX8,RATE8,Count_,Sum_floors,Avg_floors,Sum_appart,Avg_appart,Sum_Shape_,Avg_Shape_,Sum_living,Avg_living,Sum_reside,Avg_reside,part_area
39,23,2074.080347,1511767.323,8654,0.503651948,421392.9537,17120.99056,415,1993,7944,4,0.337470405,1033,34,82,2.411764706,140,4.117647059,7689.22668,226.1537259,19451.27467,572.0963138,31,0.911764706,70497.92574
40,23,2074.080347,1511767.323,8654,0.503651948,421392.9537,17120.99056,421,1999,5767,1,0.745755984,1231,0,0,0,0,0,0,0,0,0,0,0,99.37163447
41,47,2256.925452,1642994.637,9482,0.47920689,463401.3964,18510.75953,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414251.8503
42,27,1082.971687,789147.0621,5258,0.598912424,266540.6916,10698.69852,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,208550.5938
43,28,2163.767761,1576533.235,7559,0.588833015,379295.1052,15222.70831,411,1993,3590,2,0.195854822,955,1,2,2,0,0,1942.929043,1942.929043,1942.929043,1942.929043,0,0,279578.0914
44,28,2163.767761,1576533.235,7559,0.588833015,379295.1052,15222.70831,421,1999,5767,1,0.745755984,1231,0,0,0,0,0,0,0,0,0,0,0,5469.163796
45,34,663.5243834,483403.7271,3988,0.618023202,203011.0878,8095.161206,223,1970,2535,6,0.345994213,1039,0,0,0,0,0,0,0,0,0,0,0,553.0433632
46,34,663.5243834,483403.7271,3988,0.618023202,203011.0878,8095.161206,234,1998,3015,2,0.396156874,1066,1,2,2,1,1,3.658086366,3.658086366,7.316172732,7.316172732,1,1,19179.54914
47,34,663.5243834,483403.7271,3988,0.618023202,203011.0878,8095.161206,411,1993,3590,2,0.195854822,955,16,24,1.5,0,0,7676.871771,479.8044857,7676.871771,479.8044857,0,0,146997.721
48,34,663.5243834,483403.7271,3988,0.618023202,203011.0878,8095.161206,421,1999,5767,1,0.745755984,1231,0,0,0,0,0,0,0,0,0,0,0,12394.16075
49,41,1708.669791,1244426.576,7090,0.557754824,348834.3025,13988.59323,312,1998,5006,5,0.084680755,890,3,10,3.333333333,17,5.666666667,537.9832756,179.3277585,2031.414596,677.1381987,3,1,2599.216045
50,41,1708.669791,1244426.576,7090,0.557754824,348834.3025,13988.59323,313,1998,3147,4,0.214925111,971,3,11,3.666666667,32,10.66666667,937.6537823,312.5512608,3431.91231,1143.97077,3,1,2610.287176
51,41,1708.669791,1244426.576,7090,0.557754824,348834.3025,13988.59323,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316014.8311
52,42,2103.50238,1531884.065,8523,0.514784418,429708.9668,17219.99019,311,1970,3646,3,-0.241284487,665,69,100,1.449275362,97,1.405797101,7105.486844,102.9780702,12014.61268,174.1248214,69,1,83962.70096
53,42,2103.50238,1531884.065,8523,0.514784418,429708.9668,17219.99019,314,1998,0,0,0,0,2,2,1,0,0,451.3667655,225.6833828,451.3667655,225.6833828,0,0,211737.0378
54,42,2103.50238,1531884.065,8523,0.514784418,429708.9668,17219.99019,111,1957,2339,9,-0.934080774,315,0,0,0,0,0,0,0,0,0,0,0,15274.80774
55,42,2103.50238,1531884.065,8523,0.514784418,429708.9668,17219.99019,112,1957,2266,9,-0.635295992,449,23,23,1,105,4.565217391,31673.8412,1377.12353,31673.8412,1377.12353,0,0,41025.11128
56,42,2103.50238,1531884.065,8523,0.514784418,429708.9668,17219.99019,645,2002,14133,3,0.727673958,1226,0,0,0,0,0,0,0,0,0,0,0,9990.389204
57,49,1616.925736,1177318.118,5368,0.716538184,273868.5951,10961.69717,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227469.4533
58,48,1321.004008,961710.0896,4233,0.821256367,218778.2455,8757.683119,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125777.5246
59,52,1063.351767,773850.9732,6495,0.480125136,325227.9586,13000.91471,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189899.4178
60,44,2119.730612,1543494.604,6494,0.678180355,329572.1511,13189.09757,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288839.2932
61,45,2852.728358,2077143.487,8556,0.597127957,429527.118,17109.76914,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401483.6246
62,46,2629.508716,1914274.352,7915,0.619663767,395160.409,15733.06761,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268218.3435
63,46,2629.508716,1914274.352,7915,0.619663767,395160.409,15733.06761,645,2002,14133,3,0.727673958,1226,0,0,0,0,0,0,0,0,0,0,0,17783.33625
64,40,1329.7427,968518.8169,5475,0.63719864,275174.7713,10982.41908,234,1998,3015,2,0.396156874,1066,0,0,0,0,0,0,0,0,0,0,0,7455.558139
65,40,1329.7427,968518.8169,5475,0.63719864,275174.7713,10982.41908,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130147.8313
66,40,1329.7427,968518.8169,5475,0.63719864,275174.7713,10982.41908,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,2233.068336
67,43,1560.223574,1136174.046,6626,0.570263969,335273.3918,13431.92861,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275557.3385
68,37,1203.12688,876426.8626,5224,0.635271839,264505.6289,10639.20572,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6664.183003
69,37,1203.12688,876426.8626,5224,0.635271839,264505.6289,10639.20572,411,1993,3590,2,0.195854822,955,2,2,1,0,0,449.1981,224.59905,449.1981,224.59905,0,0,125972.648
70,33,136.8061418,99646.28395,2588,0.432385592,134913.4495,5386.847562,111,1957,2339,9,-0.934080774,315,4,16,4,56,14,721.2146976,180.3036744,2884.85879,721.2146976,4,1,2760.896625
71,33,136.8061418,99646.28395,2588,0.432385592,134913.4495,5386.847562,113,1957,1831,9,-0.934080774,315,85,135,1.588235294,197,2.317647059,14634.16309,172.1666246,22537.01817,265.1413902,70,0.823529412,63569.9286
72,33,136.8061418,99646.28395,2588,0.432385592,134913.4495,5386.847562,121,1957,3563,9,-0.949645165,308,53,99,1.867924528,190,3.58490566,16383.75157,309.1273881,21106.81507,398.2417937,36,0.679245283,62237.96285
73,33,136.8061418,99646.28395,2588,0.432385592,134913.4495,5386.847562,212,1970,4524,8,-0.489778723,521,1,1,1,0,0,8.312182,8.312182,8.312182,8.312182,0,0,6344.66138
74,31,211.8439053,154341.6444,3327,0.418594669,169207.655,6770.34404,434,1960,4018,8,-0.430181584,547,0,0,0,0,0,0,0,0,0,0,0,19138.69922
75,31,211.8439053,154341.6444,3327,0.418594669,169207.655,6770.34404,511,1956,2104,9,-0.291593449,627,23,49,2.130434783,89,3.869565217,5552.733766,241.4232072,11080.7709,481.7726477,11,0.47826087,82138.81947
76,31,211.8439053,154341.6444,3327,0.418594669,169207.655,6770.34404,512,1956,2963,8,-0.384313925,576,87,123,1.413793103,169,1.942528736,17772.24729,204.2787044,23920.83077,274.9520779,69,0.793103448,67930.13635
77,38,169.1482948,123218.3633,4733,0.262909419,241005.5845,9647.725283,224,1970,2148,5,-0.469161445,526,35,66,1.885714286,45,1.285714286,4283.808114,122.3945175,7748.471665,221.3849047,31,0.885714286,37431.85529
