sindex,SiteNum,Spname,LocalRisk,statusredBook,TEX
65,33,נברן שדות,LC,לא בסיכון,mammals
65,34,נברן שדות,LC,לא בסיכון,mammals
65,36,נברן שדות,LC,לא בסיכון,mammals
65,37,נברן שדות,LC,לא בסיכון,mammals
65,38,נברן שדות,LC,לא בסיכון,mammals
65,39,נברן שדות,LC,לא בסיכון,mammals
65,40,נברן שדות,LC,לא בסיכון,mammals
65,41,נברן שדות,LC,לא בסיכון,mammals
65,42,נברן שדות,LC,לא בסיכון,mammals
65,43,נברן שדות,LC,לא בסיכון,mammals
65,44,נברן שדות,LC,לא בסיכון,mammals
65,46,נברן שדות,LC,לא בסיכון,mammals
65,47,נברן שדות,LC,לא בסיכון,mammals
65,48,נברן שדות,LC,לא בסיכון,mammals
65,49,נברן שדות,LC,לא בסיכון,mammals
65,50,נברן שדות,LC,לא בסיכון,mammals
65,51,נברן שדות,LC,לא בסיכון,mammals
65,52,נברן שדות,LC,לא בסיכון,mammals
65,53,נברן שדות,LC,לא בסיכון,mammals
65,54,נברן שדות,LC,לא בסיכון,mammals
65,56,נברן שדות,LC,לא בסיכון,mammals
66,22,נחושית עינונית,LC,לא בסיכון,reptiles
66,28,נחושית עינונית,LC,לא בסיכון,reptiles
66,31,נחושית עינונית,LC,לא בסיכון,reptiles
66,40,נחושית עינונית,LC,לא בסיכון,reptiles
67,15,נחשיל חד-ראש,LC,לא בסיכון,reptiles
67,16,נחשיל חד-ראש,LC,לא בסיכון,reptiles
67,19,נחשיל חד-ראש,LC,לא בסיכון,reptiles
67,22,נחשיל חד-ראש,LC,לא בסיכון,reptiles
67,23,נחשיל חד-ראש,LC,לא בסיכון,reptiles
67,26,נחשיל חד-ראש,LC,לא בסיכון,reptiles
67,42,נחשיל חד-ראש,LC,לא בסיכון,reptiles
67,47,נחשיל חד-ראש,LC,לא בסיכון,reptiles
67,52,נחשיל חד-ראש,LC,לא בסיכון,reptiles
68,24,נמייה,LC,לא בסיכון,mammals
68,28,נמייה,LC,לא בסיכון,mammals
68,37,נמייה,LC,לא בסיכון,mammals
68,39,נמייה,LC,לא בסיכון,mammals
68,40,נמייה,LC,לא בסיכון,mammals
69,1,נץ מצוי,LC,לא בסיכון,poultry
69,2,נץ מצוי,LC,לא בסיכון,poultry
69,3,נץ מצוי,LC,לא בסיכון,poultry
69,4,נץ מצוי,LC,לא בסיכון,poultry
69,5,נץ מצוי,LC,לא בסיכון,poultry
69,6,נץ מצוי,LC,לא בסיכון,poultry
69,7,נץ מצוי,LC,לא בסיכון,poultry
69,8,נץ מצוי,LC,לא בסיכון,poultry
69,9,נץ מצוי,LC,לא בסיכון,poultry
69,10,נץ מצוי,LC,לא בסיכון,poultry
69,11,נץ מצוי,LC,לא בסיכון,poultry
69,14,נץ מצוי,LC,לא בסיכון,poultry
69,16,נץ מצוי,LC,לא בסיכון,poultry
69,18,נץ מצוי,LC,לא בסיכון,poultry
69,19,נץ מצוי,LC,לא בסיכון,poultry
69,21,נץ מצוי,LC,לא בסיכון,poultry
69,22,נץ מצוי,LC,לא בסיכון,poultry
69,24,נץ מצוי,LC,לא בסיכון,poultry
69,27,נץ מצוי,LC,לא בסיכון,poultry
69,28,נץ מצוי,LC,לא בסיכון,poultry
69,29,נץ מצוי,LC,לא בסיכון,poultry
69,31,נץ מצוי,LC,לא בסיכון,poultry
69,33,נץ מצוי,LC,לא בסיכון,poultry
69,35,נץ מצוי,LC,לא בסיכון,poultry
69,36,נץ מצוי,LC,לא בסיכון,poultry
69,37,נץ מצוי,LC,לא בסיכון,poultry
69,39,נץ מצוי,LC,לא בסיכון,poultry
69,40,נץ מצוי,LC,לא בסיכון,poultry
69,41,נץ מצוי,LC,לא בסיכון,poultry
69,42,נץ מצוי,LC,לא בסיכון,poultry
69,43,נץ מצוי,LC,לא בסיכון,poultry
69,44,נץ מצוי,LC,לא בסיכון,poultry
69,45,נץ מצוי,LC,לא בסיכון,poultry
69,46,נץ מצוי,LC,לא בסיכון,poultry
69,47,נץ מצוי,LC,לא בסיכון,poultry
69,48,נץ מצוי,LC,לא בסיכון,poultry
69,49,נץ מצוי,LC,לא בסיכון,poultry
69,50,נץ מצוי,LC,לא בסיכון,poultry
69,51,נץ מצוי,LC,לא בסיכון,poultry
69,52,נץ מצוי,LC,לא בסיכון,poultry
69,53,נץ מצוי,LC,לא בסיכון,poultry
69,54,נץ מצוי,LC,לא בסיכון,poultry
70,3,נקר סורי,LC,לא בסיכון,poultry
70,4,נקר סורי,LC,לא בסיכון,poultry
70,5,נקר סורי,LC,לא בסיכון,poultry
70,6,נקר סורי,LC,לא בסיכון,poultry
70,7,נקר סורי,LC,לא בסיכון,poultry
70,8,נקר סורי,LC,לא בסיכון,poultry
70,11,נקר סורי,LC,לא בסיכון,poultry
70,14,נקר סורי,LC,לא בסיכון,poultry
70,16,נקר סורי,LC,לא בסיכון,poultry
70,24,נקר סורי,LC,לא בסיכון,poultry
70,27,נקר סורי,LC,לא בסיכון,poultry
70,28,נקר סורי,LC,לא בסיכון,poultry
70,29,נקר סורי,LC,לא בסיכון,poultry
70,30,נקר סורי,LC,לא בסיכון,poultry
70,31,נקר סורי,LC,לא בסיכון,poultry
70,33,נקר סורי,LC,לא בסיכון,poultry
70,35,נקר סורי,LC,לא בסיכון,poultry
70,36,נקר סורי,LC,לא בסיכון,poultry
70,37,נקר סורי,LC,לא בסיכון,poultry
70,38,נקר סורי,LC,לא בסיכון,poultry
70,40,נקר סורי,LC,לא בסיכון,poultry
70,41,נקר סורי,LC,לא בסיכון,poultry
70,42,נקר סורי,LC,לא בסיכון,poultry
70,43,נקר סורי,LC,לא בסיכון,poultry
70,46,נקר סורי,LC,לא בסיכון,poultry
70,47,נקר סורי,LC,לא בסיכון,poultry
70,48,נקר סורי,LC,לא בסיכון,poultry
70,49,נקר סורי,LC,לא בסיכון,poultry
70,50,נקר סורי,LC,לא בסיכון,poultry
70,53,נקר סורי,LC,לא בסיכון,poultry
70,54,נקר סורי,LC,לא בסיכון,poultry
70,55,נקר סורי,LC,לא בסיכון,poultry
70,56,נקר סורי,LC,לא בסיכון,poultry
70,57,נקר סורי,LC,לא בסיכון,poultry
70,58,נקר סורי,LC,לא בסיכון,poultry
71,1,סבכי טוחנים,LC,לא בסיכון,poultry
